city,state,lon,lat,lon1,lat1
New York,New York,-8234229.297,4970380.761,-8234229.297,4970380.761
Philadelphia,Pennsylvania,-8368867.370,4858182.367,-8368867.370,4858182.367
Miami,Florida,-8937629.376,2950191.930,-8937629.376,2950191.930
Mississippi,New Orleans,-10011126.898,3477049.104,-10011126.898,3477049.104
Texas,Alexandria,-10315510.127,3650932.795,-10315510.127,3650932.795
Knoxville,Tennessee,-9336763.598,4265599.498,-9336763.598,4265599.498
Lebanon,Tennessee,-9598456.819,4306554.140,-9598456.819,4306554.140
Nashville,Tennessee,-9641493.901,4289894.625,-9641493.901,4289894.625
Washington,Maryland,-8598885.896,4704994.216,-8598885.896,4704994.216
Tuskaloosa,Alabama,-9737980.260,3932409.191,-9737980.260,3932409.191
Athens,Georgia,-9278455.295,4018483.353,-9278455.295,4018483.353
Detroid,Michigan,-9248606.996,5213456.509,-9248606.996,5213456.509
